worker_id,age,zone,shift,primary_platform,monthly_earnings,risk_level,worker_gig_score,claims_per_month,days_worked,pincode_30d_avg_dci,predicted_7d_max_dci,tenure_months,discount_multiplier,shift_morning,shift_day,shift_night,shift_flexible
worker_0000,31,591204,night,Zomato,29074,low,87.3071771930233,0,21,25.52110435751587,35.55855923589924,7,0.3,0,0,1,0
worker_0001,48,560038,day,Zomato,27281,medium,77.96717236771556,0,23,46.93566316463323,63.948648823713604,3,0.0,0,1,0,0
worker_0002,41,591204,day,Zomato,29753,medium,80.83382351302726,1,22,43.84552246786139,58.67480703184572,17,0.02519514493553119,0,1,0,0
worker_0003,37,560095,day,Swiggy,18895,medium,77.29052540721122,1,19,31.778563953646408,43.024918454630125,22,0.02601333419814806,0,1,0,0
worker_0004,24,560001,night,Zomato,29545,medium,81.09337496930306,0,15,20.54639533741168,34.13696118728502,26,0.156464300482944,0,0,1,0
worker_0005,24,575001,night,Zomato,21468,low,87.23534991761008,0,23,23.10591661413163,35.59589457949059,12,0.21026429156108264,0,0,1,0
worker_0006,21,560095,morning,Swiggy,20212,high,47.304376188348755,0,22,35.667791020433576,63.96535863278098,24,0.04077003467251678,1,0,0,0
worker_0007,45,570001,morning,Swiggy,15755,medium,78.42407481428548,0,20,26.158974046627357,38.964318315810736,1,0.022161265803984462,1,0,0,0
worker_0008,38,570001,morning,Zomato,15791,medium,80.08014338799524,0,17,35.07278424591883,55.82575352567241,2,0.01824082700974174,1,0,0,0
worker_0009,41,591204,night,Swiggy,25380,medium,90.99827279176183,0,23,45.12730418041421,66.9894232826575,2,0.0,0,0,1,0
worker_0010,20,580001,night,Swiggy,21868,medium,81.82930422509375,1,21,41.88949711517134,62.75928626934402,15,0.023651461825928432,0,0,1,0
worker_0011,49,560037,day,Swiggy,18397,low,100.0,0,23,29.24703532549577,41.22816400981553,1,0.25067821291669073,0,1,0,0
worker_0012,44,580001,morning,Swiggy,24209,medium,74.6415731353931,0,27,33.752899650350095,50.12886688536112,9,0.06555028458099191,1,0,0,0
worker_0013,26,563001,morning,Swiggy,18792,medium,69.972339094199,0,15,44.56124793794602,55.58665458720908,8,0.012692094055086629,1,0,0,0
worker_0014,25,580001,flexible,Zomato,23664,medium,88.29212466803548,0,19,54.43420112173795,72.34759940366428,5,0.0,0,0,0,1
worker_0015,25,563001,day,Swiggy,20388,medium,70.63027061298185,0,21,50.12853754955509,63.90051617498693,25,0.0,0,1,0,0
worker_0016,29,563001,night,Swiggy,27353,medium,80.07010787908294,2,26,42.1360010733366,63.3686517390242,3,0.036063300279564454,0,0,1,0
worker_0017,35,575001,night,Swiggy,27310,medium,93.33905874350893,0,17,34.49171993265945,58.34788780964146,6,0.1613628920298666,0,0,1,0
worker_0018,32,560001,day,Swiggy,22160,medium,75.4185468787256,0,27,34.60205110167222,55.24444830576635,18,0.0,0,1,0,0
worker_0019,28,575001,day,Zomato,20262,medium,85.11922720786826,1,22,55.17669241057584,73.86142634280375,1,0.0,0,1,0,0
worker_0020,38,563001,morning,Swiggy,20438,medium,89.60607169229526,0,21,21.569743041621855,39.3164114587557,14,0.16116454493380125,1,0,0,0
worker_0021,24,560095,night,Swiggy,27085,medium,75.21979438692435,0,21,59.51930577681044,86.35314113875052,21,0.0,0,0,1,0
worker_0022,28,570001,night,Swiggy,19922,medium,79.52641140473118,0,20,46.57501643406249,60.962377735367895,33,0.03550847919609825,0,0,1,0
worker_0023,30,563001,night,Swiggy,18135,medium,79.9430111023333,0,25,47.24550796289562,71.929874753473,26,0.03816554518306271,0,0,1,0
worker_0024,33,575001,day,Zomato,16270,medium,75.25221859410885,0,18,21.519913492189687,46.66955998699207,5,0.07650689573789007,0,1,0,0
worker_0025,43,560095,morning,Zomato,22000,medium,78.13190033932081,0,23,44.22117099565089,62.605171141065576,11,0.0,1,0,0,0
worker_0026,25,575001,flexible,Swiggy,22231,medium,69.00502876563802,0,20,39.39112240361788,55.337134388130664,1,0.008404543611894095,0,0,0,1
worker_0027,35,580001,night,Swiggy,27613,medium,82.93676673387088,0,19,24.23115627576268,43.64198599668218,4,0.1262073339574104,0,0,1,0
worker_0028,37,560038,day,Swiggy,18318,medium,84.45388671068748,0,29,31.116880430774362,42.981158948628334,2,0.09079291866951397,0,1,0,0
worker_0029,21,591204,flexible,Swiggy,20714,medium,73.6029614066637,0,23,55.61257824854605,66.53117889312784,5,0.0,0,0,0,1
worker_0030,38,560037,night,Swiggy,27126,medium,96.85694818564818,1,23,41.99953663463812,54.23160062367596,25,0.16452208568400145,0,0,1,0
worker_0031,25,575001,day,Swiggy,27354,medium,77.41216462498699,0,25,36.536663006956346,50.27956363620087,6,0.0,0,1,0,0
worker_0032,21,560037,night,Swiggy,20769,medium,83.20553469668566,0,17,22.907286233632437,42.9908226403933,10,0.186271988619474,0,0,1,0
worker_0033,48,560068,night,Swiggy,21886,medium,70.12123429064727,1,27,48.56486109609222,75.54759381931467,7,0.0,0,0,1,0
worker_0034,48,575001,night,Zomato,19549,low,82.45185182862728,0,14,48.1140329358413,62.82687957583504,8,0.08308564485184843,0,0,1,0
worker_0035,44,560038,morning,Zomato,28988,medium,87.45015676796459,0,19,44.561744278902545,73.26498449383811,42,0.06018986230360551,1,0,0,0
worker_0036,29,560037,day,Swiggy,16779,medium,92.51120115919626,0,20,40.41050584882597,69.50866402752604,5,0.0037614060297412877,0,1,0,0
worker_0037,22,563001,flexible,Zomato,29006,low,96.78131863102489,0,23,37.351376088294906,66.52946818519901,12,0.11419559151972515,0,0,0,1
worker_0038,40,575001,day,Swiggy,25257,medium,74.04891147739532,0,22,43.73084371951969,70.48209841304617,7,0.0,0,1,0,0
worker_0039,33,560001,day,Swiggy,22973,high,38.94905035956054,1,21,29.335818069136266,46.61231888509068,1,0.0,0,1,0,0
worker_0040,23,591204,day,Zomato,15489,high,52.059015261943664,3,21,57.65036256710591,69.10404078715837,9,0.020566948884207487,0,1,0,0
worker_0041,34,560038,day,Zomato,22133,medium,76.12810306975297,0,19,43.551781167209185,64.92815580253908,21,0.0,0,1,0,0
